id,dtype,grid,dram_MB,dur_us,achieved_GBps,dram_pct_peak,sm_pct,l2_hit_pct,occupancy_pct,ai_flop_per_byte,achieved_GFLOPs
8,fp16,"(384, 1, 1)",27.567,112.544,244.945,94.630,22.470,3.050,23.890,1.000,244.945
7,fp16,"(2240, 1, 1)",27.550,111.488,247.111,95.460,24.170,1.070,24.080,1.000,247.111
6,fp16,"(2240, 1, 1)",27.548,111.328,247.448,95.590,24.190,1.040,24.100,1.000,247.448
0,fp16,"(384, 1, 1)",4.745,22.144,214.260,82.860,20.960,3.720,22.550,1.000,214.260
9,fp16,"(384, 1, 1)",4.744,22.080,214.875,83.330,21.060,3.730,22.370,1.000,214.875
5,fp16,"(384, 1, 1)",4.741,21.824,217.255,84.130,21.230,3.700,22.210,1.000,217.255
10,fp16,"(64, 1, 1)",0.810,6.208,130.495,50.710,14.300,17.220,14.540,1.000,130.495
1,fp16,"(64, 1, 1)",0.810,6.112,132.524,51.500,14.480,17.230,14.500,1.000,132.524
2,fp16,"(64, 1, 1)",0.810,6.176,131.150,51.230,14.380,17.230,14.520,1.000,131.150
11,fp16,"(64, 1, 1)",0.810,6.080,133.221,52.040,14.550,17.240,14.540,1.000,133.221
3,fp32,"(1, 1, 12)",0.059,2.784,21.149,8.360,1.250,42.260,4.160,0.500,10.575
4,fp32,"(4, 1, 12)",0.053,2.912,18.198,7.190,2.280,50.320,5.430,0.500,9.099
