shape,batch,N,K,correctness_max_abs,two_op_median_us,two_op_iqr_us,two_op_effective_GBps,fused_median_us,fused_iqr_us,fused_effective_GBps,fused_pct_roofline,fp16_gemm_median_us,fp16_gemm_iqr_us,fp16_gemm_effective_GBps,speedup_vs_two_op,speedup_vs_fp16_gemm
mlp_gate_up,1,8960,1536,0.000488281,5065.73,188.416,12.2722,83.968,9.216,84.7622,33.9049,200.192,32.768,137.598,60.3293,2.38415
mlp_gate_up,2,8960,1536,0.000976562,5181.44,173.056,12.0022,190.976,49.152,74.5362,29.8145,112.64,15.36,244.736,27.1314,0.589812
mlp_gate_up,4,8960,1536,0.000976562,4559.36,229.376,13.649,182.784,49.152,155.754,62.3014,136.704,70.656,201.963,24.944,0.747899
mlp_gate_up,8,8960,1536,0.000976562,4672.51,242.688,13.3364,238.592,14.336,238.644,95.4575,123.392,65.536,224.432,19.5837,0.517167
mlp_gate_up,16,8960,1536,0.000976562,4622.34,148.48,13.5175,526.848,233.472,216.148,86.4591,76.8,4.09599,362.773,8.77357,0.145773
mlp_gate_up,32,8960,1536,0.00195312,4576.26,191.488,13.727,1254.4,1134.59,181.564,72.6256,84.48,6.144,333.77,3.64816,0.0673469
attn_qo,1,1536,1536,6.10352e-05,640,281.6,16.656,156.672,22.528,7.80392,3.12157,117.76,39.936,40.1217,4.08497,0.751634
attn_qo,2,1536,1536,1.90735e-06,922.112,323.584,11.5669,206.848,67.584,11.8218,4.72871,102.4,31.744,46.2,4.45792,0.495049
attn_qo,4,1536,1536,0.000488281,634.368,344.064,16.8329,172.544,19.456,28.3442,11.3377,81.92,19.456,57.9,3.67656,0.474777
attn_qo,8,1536,1536,0.000976562,706.048,368.64,15.1588,363.52,109.568,26.907,10.7628,113.152,40.96,42.1357,1.94225,0.311268
attn_qo,16,1536,1536,0.000976562,537.6,374.784,20,656.384,191.488,29.8034,11.9214,77.824,13.312,61.8947,0.819033,0.118565
attn_qo,32,1536,1536,0.000976562,720.896,316.416,15.0511,1250.82,662.528,31.2796,12.5118,115.712,46.08,42.4779,0.576341,0.0925092
